Type,Source URL,Destination URL,Status Code/Redirect Type
Redirect,"/sitemap_index.xml","/sitemap.xml",301 (Permanent)
Block/Status,"/product/(.*)","/",410
Block/Status,"/author/user/(.*)","/404",404
Block/Status,"/(.*)-sitemap.xml","/404",404
Redirect,"/airavatesvara-temple","/temples/airavatesvara-temple",301 (Permanent)
Redirect,"/mahakaleshwar-darshan","/temples/mahakaleshwar-darshan",301 (Permanent)
Redirect,"/vindhyachal-temple-mirzapur","/temples/vindhyachal-temple-mirzapur",301 (Permanent)
Redirect,"/thillai-nataraja-temple","/temples/thillai-nataraja-temple",301 (Permanent)
Redirect,"/kanyakumari-bhagavathy-amman-temple","/temples/kanyakumari-bhagavathy-amman-temple",301 (Permanent)
Redirect,"/palani-murugan-temple","/temples/palani-murugan-temple",301 (Permanent)
Redirect,"/jagannath-temple","/temples/jagannath-temple",301 (Permanent)
Redirect,"/dwarkadhish-temple","/temples/dwarkadhish-temple",301 (Permanent)
Redirect,"/buy-mata-vaishno-devi-prasadam-online","/temples/buy-mata-vaishno-devi-prasadam-online",301 (Permanent)
Block/Status,"/ttbm_guide/shamim","/404",404
Redirect,"/penchalakona-lakshmi-narasimha-swamy-temple-puja","/puja/Penchalakona-Lakshmi-Narasimha-swamy-Nithyakalyanotsavam",301 (Permanent)
Redirect,"/darshan","/temples/darshan",301 (Permanent)
Redirect,"/sabarimala-sastha-temple","/temples/sabarimala-sastha-temple",301 (Permanent)
Redirect,"/vaishno-devi-temple","/temples/vaishno-devi-temple",301 (Permanent)
Redirect,"/live-darshan-ram-mandir","/temples/live-darshan-ram-mandir",301 (Permanent)
Block/Status,"/shodashopachar-puja-kedarnath","/404",404
Redirect,"/kalighat-kali-temple","/temples/kalighat-kali-temple",301 (Permanent)
Redirect,"/live-darshan-mahakaleshwar","/temples/live-darshan-mahakaleshwar",301 (Permanent)
Redirect,"/badrinath-temple","/temples/badrinath-temple",301 (Permanent)
Block/Status,"/mahapuja-at-bhimashankar","/404",404
Redirect,"/tara-temple-tarapith","/temples/tara-temple-tarapith",301 (Permanent)
Redirect,"/temple/sri-potuluri-veera-brahmendra-swamy-matam-vipdarshan","/temples/sri-potuluri-veera-brahmendra-swamy-matam-vipdarshan",301 (Permanent)
Redirect,"/palitana-jain-tirth-temple","/temples/palitana-jain-tirth-temple",301 (Permanent)
Redirect,"/bhimashankar-jyotirlinga","/temples/bhimashankar-jyotirlinga",301 (Permanent)
Redirect,"/live-darshan-golden-temple","/temples/live-darshan-golden-temple",301 (Permanent)
Block/Status,"/bhimashankar-laghu-rudrabhishek","/404",404
Redirect,"/vip-darshan-package","/temples/vip-darshan-package",301 (Permanent)
Redirect,"/live-darshan-kedarnath","/temples/live-darshan-kedarnath",301 (Permanent)
Redirect,"/gangotri-temple","/temples/gangotri-temple",301 (Permanent)
